year,suburbName,postcode,businessName,industryCode,industryName,x-coordinate,y-coordinate
2006,Melbourne (CBD),3000,Hudson Coffee,4511,Cafes and Restaurants,144.9628783,-37.81261442
2006,Melbourne (CBD),3000,Kum Den,4511,Cafes and Restaurants,144.9665431,-37.81169959
2006,Melbourne (CBD),3000,Dhaka Restaurant,4511,Cafes and Restaurants,144.9681529,-37.81081665
2006,Melbourne (CBD),3000,Encore Cafe & Bar,4511,Cafes and Restaurants,144.96853,-37.81098009
2006,Melbourne (CBD),3000,Brunetti City Square,4511,Cafes and Restaurants,144.9674304,-37.81584777
2011,Melbourne (CBD),3000,Ten Ren's Tea Time,4511,Cafes and Restaurants,144.9662039,-37.81417648
2011,Melbourne (CBD),3000,Triim,4511,Cafes and Restaurants,144.9612043,-37.8138513
2011,Melbourne (CBD),3000,Brother Baba Budan,4511,Cafes and Restaurants,144.9621697,-37.81353635
2011,Melbourne (CBD),3000,Basic Bites,4511,Cafes and Restaurants,144.9617562,-37.81416355
2011,Melbourne (CBD),3000,Ramen Ya,4511,Cafes and Restaurants,144.9632879,-37.81360425
2011,Melbourne (CBD),3000,Ca De Vin,4511,Cafes and Restaurants,144.9632879,-37.81360425
2011,Melbourne (CBD),3000,Melbourne Dae Jang Geum Korean BBQ,4511,Cafes and Restaurants,144.9658365,-37.81296443
2011,Melbourne (CBD),3000,Kimchi Tray,4511,Cafes and Restaurants,144.9643537,-37.81807489
2011,Melbourne (CBD),3000,Nando's Australia,4511,Cafes and Restaurants,144.9637506,-37.8103651
2011,Melbourne (CBD),3000,Elements Catering,4511,Cafes and Restaurants,144.9693797,-37.81398457
2011,Melbourne (CBD),3000,Crossways Food For Life,4511,Cafes and Restaurants,144.9658852,-37.81482941
2011,Melbourne (CBD),3000,Delicious Delights Cafe,4511,Cafes and Restaurants,144.9657774,-37.81507697
2011,Melbourne (CBD),3000,Cafe Meditteranean,4511,Cafes and Restaurants,144.9661258,-37.81528474
2011,Melbourne (CBD),3000,Starbucks Coffee,4511,Cafes and Restaurants,144.9674304,-37.81584777
2011,Melbourne (CBD),3000,Il Pomodoro Italian,4511,Cafes and Restaurants,144.9699175,-37.81784465
2011,Melbourne (CBD),3000,Arintji,4511,Cafes and Restaurants,144.9699175,-37.81784465
2011,Melbourne (CBD),3000,Feddish,4511,Cafes and Restaurants,144.9699175,-37.81784465
2011,Melbourne (CBD),3000,Time Out Cafe,4511,Cafes and Restaurants,144.9699175,-37.81784465
2011,Melbourne (CBD),3000,Fitness First,9111,Health and Fitness Centres and Gymnasia Operation,144.9630189,-37.81073331
2011,Melbourne (CBD),3000,Gloria Jeans (L1),4511,Cafes and Restaurants,144.9630189,-37.81073331
2011,Melbourne (CBD),3000,IGA Express Flinders Street,4110,Supermarket and Grocery Stores,144.9716757,-37.81587662
2011,Melbourne (CBD),3000,Barista Cafe,4511,Cafes and Restaurants,144.9699756,-37.80941489
2006,Melbourne (CBD),3000,G & J Cafe Deli Take Away Food,4511,Cafes and Restaurants,144.9579933,-37.80988001
2016,Melbourne (CBD),3000,The Hardware Societe,4511,Cafes and Restaurants,144.9607032,-37.81194755
2016,Melbourne (CBD),3000,Ramen Bankara,4511,Cafes and Restaurants,144.9641668,-37.81101861
2016,Melbourne (CBD),3000,Bornga,4511,Cafes and Restaurants,144.9643593,-37.81143223
2011,Melbourne (CBD),3000,The Grill Restaurant,4511,Cafes and Restaurants,144.963576,-37.8182001
2011,Melbourne (CBD),3000,Queen's Corner Cafe,4511,Cafes and Restaurants,144.9627098,-37.81858716
2011,Melbourne (CBD),3000,Jon Weller Stusies,9111,Health and Fitness Centres and Gymnasia Operation,144.9623027,-37.81361257
2006,Melbourne (CBD),3000,Shanghai Noodle House,4511,Cafes and Restaurants,144.965603,-37.81213633
2006,Melbourne (CBD),3000,Cafe Pazzo,4511,Cafes and Restaurants,144.9578132,-37.81636534
2006,Melbourne (CBD),3000,Nicks Bar,4511,Cafes and Restaurants,144.9599073,-37.81386746
2006,Melbourne (CBD),3000,Milano On Queen,4511,Cafes and Restaurants,144.9598741,-37.81379647
2006,Melbourne (CBD),3000,Shanshai Family,4511,Cafes and Restaurants,144.967512,-37.81222178
2006,Melbourne (CBD),3000,Chilli Cafe,4511,Cafes and Restaurants,144.9681879,-37.8122734
2006,Melbourne (CBD),3000,European,4511,Cafes and Restaurants,144.9724291,-37.8109513
2006,Melbourne (CBD),3000,Gi Gi Japanese Sushi,4511,Cafes and Restaurants,144.9648043,-37.81244693
2006,Melbourne (CBD),3000,Cafe 53,4511,Cafes and Restaurants,144.9728353,-37.8148555
2011,Melbourne (CBD),3000,Luca's Cafe,4511,Cafes and Restaurants,144.9617799,-37.81822749
